"genes","logFC","logCPM","PValue","FDR"
"24295","Migut.N00512.v2.0",-3.18357085531988,4.9255305788213,2.55281380903234e-33,2.46525229538253e-29
"12000","Migut.G00850.v2.0",8.49441142196429,4.51991815847583,9.68615034803714e-29,4.67695769554973e-25
"26634","Migut.N02851.v2.0",12.7891736408721,3.5094205569893,4.33554314659785e-25,1.39561133888985e-21
"5377","Migut.D00797.v2.0",-2.25999418056679,6.90928321782855,5.71946084273852e-23,1.38082083395815e-19
"26636","Migut.N02853.v2.0",11.6955220559153,2.72789576514122,7.29848482234517e-23,1.40962935858775e-19
"21900","Migut.M00156.v2.0",5.60139785986728,5.20185493301632,1.39746453059797e-20,2.24921916199743e-17
"12081","Migut.G00931.v2.0",-8.67009379362141,3.60273187661635,3.72992208293029e-19,5.14569393640826e-16
"27906","Migut.O00747.v2.0",2.2695939089464,5.42131661563539,3.47856085002649e-18,4.19905776608823e-15
"127","Migut.A00127.v2.0",2.91719003573674,5.16691565888627,1.97630775089305e-17,2.12057821670824e-14
"3821","Migut.C00653.v2.0",8.42756451763306,3.49317374669244,9.60726067477428e-17,9.27773163362952e-14
"27261","Migut.O00102.v2.0",-4.92406240155088,5.30178827381588,1.10544225354858e-14,9.70477803865335e-12
"160","Migut.A00160.v2.0",-2.43540581360068,5.16519681323149,2.25564058593535e-14,1.81522676153148e-11
"8176","Migut.E00997.v2.0",3.98861417019625,4.00424115014545,3.54865808948022e-14,2.63610701308542e-11
"5379","Migut.D00799.v2.0",-2.41888978932935,9.30003801046156,1.21132705549532e-13,8.3555609820845e-11
"18721","Migut.K00549.v2.0",-6.35473594746669,4.49788266649679,5.44244202220946e-13,3.50384417389845e-10
"27376","Migut.O00217.v2.0",-2.84204608159442,7.95786760821102,7.44058789589607e-12,4.49085983191677e-09
"6778","Migut.D02198.v2.0",-10.2723243009793,4.46043814100832,2.22949243856329e-11,1.26648285171798e-08
"28004","Migut.O00845.v2.0",2.12494575786061,4.68118670880475,4.56118157831024e-11,2.44707391676344e-08
"17719","Migut.J01442.v2.0",6.85301239002879,4.41135257605127,6.09139559513868e-11,3.09603196117127e-08
"21916","Migut.M00172.v2.0",4.15394610185492,3.27583187543355,3.3520166200979e-10,1.61852122501427e-07
"25071","Migut.N01288.v2.0",1.94222870456668,4.62889487542175,3.54396345889949e-10,1.62971691059964e-07
"18629","Migut.K00457.v2.0",3.23974121121053,6.78496620542455,5.81297039047224e-10,2.55162977549047e-07
"26562","Migut.N02779.v2.0",-1.92428624872947,4.56089561808818,6.7485809893115e-10,2.83352376581657e-07
